#Артем Грачев
#Ричард Никсон - отвращение, ненависть ИДЕН, презрение НИЛ КЕССЕДИ
#Представители закона - паранойя ХЕЙТЭЛЛ МЫШЬ
#Окружающая действительность/политическая ситуация - обреченность ОФИС ШЕРИФА?
#бар влечение
#Том или Тим (труп) - сожаление НАГИ , грусть БРАТЦЕВА ОЛЬГА, страх ОПАЛЕННЫЙ
#Девушка с венком в волосах  - приязнь НИНИЭЛЬ, влечение СЦИЛА, тревожность 
#Парень с пистолетом (размытый образ врага) - злость, гнев МЫШЬ, ярость
#Дилер - симпатия МАТВИЕНКО, злость tayren, депрессия 
#"Ангелы ада" - радость, азарт ВАНКЕР, драка ВАНКЕР, ярость
#Наркотики - тоска, страх, одержимость, зависимость
#Сон - отчаяние, фобия СВОЙ ДОМ?
#День - депрессия, тоска, сожаление
#Ночь - желание, тревожность, раздражение
DSilverstone,80,nenavist'
NCassidy,80,prezrenie
Dstanley,80,paranojya
JDawson,80,sozhalenie
TMalone,80,grust'
JSpencer,80,strah
NEpstein,80,priyazn'
BHill,80,vlechenie
MDawkins,80,simpatiya
MHailey,80,zlost'
LYoung,80,azart
